,Mkt-RF,SMB,HML,RMW,CMA,RF
200201,-1.44,1.28,3.42,4.73,2.83,0.14
200202,-2.28,-0.38,2.34,8.03,5.10,0.13
200203,4.24,4.15,1.08,-1.83,0.66,0.13
200204,-5.21,6.63,4.01,4.59,5.35,0.15
200205,-1.36,-3.07,1.52,2.31,2.53,0.14
200206,-7.23,3.76,0.37,3.92,2.66,0.13
200207,-8.19,-6.33,-3.51,3.84,-1.10,0.15
200208,0.50,-1.28,3.01,1.37,-1.40,0.14
200209,-10.34,3.05,1.26,3.29,-2.29,0.14
200210,7.84,-4.29,-3.76,-3.16,0.73,0.14
200211,5.96,2.94,-1.16,-9.25,5.16,0.12
200212,-5.76,0.55,2.11,6.32,-1.79,0.11
200301,-2.57,0.71,-0.79,-0.93,0.69,0.10
200302,-1.88,-0.87,-1.36,0.79,-0.68,0.09
200303,1.09,0.77,-2.11,1.68,-0.81,0.10
200304,8.18,1.14,1.22,-4.68,0.98,0.10
200305,6.05,4.78,0.70,-6.94,3.07,0.09
200306,1.42,1.65,0.14,0.44,-0.40,0.10
200307,2.33,4.40,-1.53,-3.89,1.52,0.07
200308,2.33,2.37,1.64,-2.29,2.15,0.07
200309,-1.24,0.57,0.14,0.90,0.41,0.08
200310,6.08,2.63,2.21,-1.38,1.65,0.07
200311,1.35,2.31,1.72,0.21,1.68,0.07
200312,4.29,-2.51,1.51,0.57,0.85,0.08
200401,2.15,2.46,2.42,-3.60,3.33,0.07
200402,1.40,-0.92,0.95,2.13,-1.17,0.06
200403,-1.32,2.11,0.23,1.65,-0.98,0.09
200404,-1.82,-2.06,-3.23,3.46,-2.83,0.08
200405,1.18,-0.40,-0.18,-1.17,0.01,0.06
200406,1.86,2.52,1.21,1.12,-0.31,0.08
200407,-4.04,-2.92,3.22,5.21,-1.68,0.10
200408,0.08,-1.18,1.08,1.21,-1.35,0.11
200409,1.60,3.22,-0.05,-1.49,-1.72,0.11
200410,1.42,0.15,-0.26,-0.53,0.41,0.11
200411,4.53,4.12,1.57,-0.52,-0.18,0.15
200412,3.41,-0.04,-0.23,-1.07,0.39,0.16
200501,-2.75,-1.11,2.06,2.80,-1.41,0.16
200502,1.88,-0.30,1.41,1.32,-0.21,0.16
