Date,Mkt-RF,SMB,HML,RF
200201,-1.44,1.17,3.42,0.14
200202,-2.30,-1.08,2.34,0.13
200203,4.24,4.09,1.08,0.13
200204,-5.21,5.82,4.01,0.15
200205,-1.36,-3.27,1.52,0.14
200206,-7.23,4.08,0.37,0.13
200207,-8.19,-5.25,-3.51,0.15
200208,0.50,-2.80,3.01,0.14
200209,-10.34,2.42,1.26,0.14
200210,7.84,-3.40,-3.76,0.14
200211,5.96,3.26,-1.16,0.12
200212,-5.76,-0.04,2.11,0.11
200301,-2.57,1.34,-0.79,0.10
200302,-1.88,-0.44,-1.36,0.09
200303,1.09,1.17,-2.11,0.10
200304,8.18,0.76,1.22,0.10
200305,6.05,4.61,0.70,0.09
200306,1.42,1.70,0.14,0.10
200307,2.33,4.93,-1.53,0.07
200308,2.33,2.44,1.64,0.07
200309,-1.24,0.85,0.14,0.08
200310,6.08,2.59,2.21,0.07
200311,1.35,2.06,1.72,0.07
200312,4.29,-2.68,1.51,0.08
200401,2.15,2.54,2.42,0.07
200402,1.40,-1.57,0.95,0.06
200403,-1.32,1.73,0.23,0.09
200404,-1.81,-1.73,-3.23,0.08
200405,1.18,-0.23,-0.18,0.06
200406,1.85,2.25,1.21,0.08
200407,-4.04,-3.76,3.22,0.10
200408,0.07,-1.52,1.08,0.11
200409,1.60,3.01,-0.05,0.11
200410,1.42,0.13,-0.26,0.11
200411,4.53,3.74,1.57,0.15
200412,3.42,-0.03,-0.23,0.16
200501,-2.75,-1.66,2.06,0.16
200502,1.88,-0.57,1.41,0.16
200503,-1.94,-1.41,2.07,0.21
200504,-2.61,-3.93,0.05,0.21
200505,3.65,2.86,-0.58,0.24
200506,0.58,2.56,2.80,0.23
200507,3.92,2.87,-0.78,0.24
200508,-1.20,-1.07,1.34,0.30
200509,0.48,-0.62,0.78,0.29
200510,-2.04,-1.30,0.43,0.27
200511,3.61,1.05,-1.19,0.31
200512,-0.24,-0.44,0.15,0.32
200601,3.03,5.46,0.99,0.35
200602,-0.30,-0.41,-0.31,0.34
200603,1.47,3.39,0.61,0.37
200604,0.73,-1.38,2.26,0.36
200605,-3.56,-3.01,2.38,0.43
200606,-0.35,-0.35,0.85,0.40
200607,-0.77,-3.95,2.62,0.40
200608,2.03,0.99,-1.95,0.42
200609,1.84,-1.30,0.06,0.41
200610,3.22,1.77,-0.33,0.41
200611,1.70,0.63,0.04,0.42
200612,0.85,-1.16,2.74,0.40
200701,1.38,0.09,-0.68,0.44
200702,-1.96,1.23,-0.08,0.38
200703,0.71,0.09,-0.88,0.43
200704,3.49,-2.21,-1.44,0.44
200705,3.23,0.16,-0.59,0.41
200706,-1.96,0.73,-1.05,0.40
200707,-3.72,-2.66,-3.68,0.40
200708,0.94,-0.11,-1.87,0.42
200709,3.22,-2.25,-2.17,0.32
200710,1.79,0.19,-2.87,0.32
